2,23,Chamba,84,Chaurah,7035,R.F.Shikri  (537)
2,23,Chamba,84,Chaurah,7036,Ladhan  (557)
2,23,Chamba,84,Chaurah,7037,Shohi   (558)
2,23,Chamba,84,Chaurah,7038,Kumarka  (559)
2,23,Chamba,84,Chaurah,7039,Gegana  (562)
2,23,Chamba,84,Chaurah,7040,Paleran  (561)
2,23,Chamba,84,Chaurah,7041,Jandrah  (560)
2,23,Chamba,84,Chaurah,7042,Saprot  (563)
2,23,Chamba,84,Chaurah,7043,D.P.F.Kalor  (535)
2,23,Chamba,84,Chaurah,7044,D.P.F. Khairna   (534)
2,23,Chamba,84,Chaurah,7045,R.F.Chatri  (536)
2,23,Chamba,84,Chaurah,7046,Sarana  (538)
2,23,Chamba,84,Chaurah,7047,Kareri  (530)
2,23,Chamba,84,Chaurah,7048,Jungrar  (531)
2,23,Chamba,84,Chaurah,7049,R.F.Kansar Ghudei  (527)
2,23,Chamba,84,Chaurah,7050,Dhar Kansar-II  (501)
2,23,Chamba,84,Chaurah,7051,R.F.Gurunji  (500)
2,23,Chamba,84,Chaurah,7052,Dhar Kansar  (526)
2,23,Chamba,84,Chaurah,7053,Dhar Padhar Goth  (499)
2,23,Chamba,84,Chaurah,7054,R.F.Chamar Chuna  (497)
2,23,Chamba,84,Chaurah,7055,Dhar Runota   (498)
2,23,Chamba,84,Chaurah,7056,Dhar Pukhar  (532)
2,23,Chamba,84,Chaurah,7057,D.P.F.Banetu  (533)
2,23,Chamba,84,Chaurah,7058,R.F.Mundi Bahi  (492)
2,23,Chamba,84,Chaurah,7059,Dhar Bhangor  (493)
2,23,Chamba,84,Chaurah,7060,Phanaota  (494)
2,23,Chamba,84,Chaurah,7061,R.F.Doari  (495)
2,23,Chamba,84,Chaurah,7062,Gewa  (496)
2,23,Chamba,84,Chaurah,7063,Baghai Garh  (465)
2,23,Chamba,84,Chaurah,7064,Dhar Naloh  (464)
2,23,Chamba,84,Chaurah,7065,Dhar Paraba  (463)
2,23,Chamba,84,Chaurah,7066,Paraba  (468)
2,23,Chamba,84,Chaurah,7067,Khander  (467)
2,23,Chamba,84,Chaurah,7068,Chachoga  (466)
2,23,Chamba,84,Chaurah,7069,Jhakla  (488)
2,23,Chamba,84,Chaurah,7070,Suala  (487)
2,23,Chamba,84,Chaurah,7071,R.F.Jured  (477)
2,23,Chamba,84,Chaurah,7072,Bharandui  (469)
2,23,Chamba,84,Chaurah,7073,Dhar Jwara   (470)
2,23,Chamba,84,Chaurah,7074,Dhar Sensar Patta  (472)
2,23,Chamba,84,Chaurah,7075,Dhar Milgu  (474)
2,23,Chamba,84,Chaurah,7076,Trakar Khartap  (475)
2,23,Chamba,84,Chaurah,7077,Mawa  (473)
2,23,Chamba,84,Chaurah,7078,Juri  (476)
2,23,Chamba,84,Chaurah,7079,D.P.F.Jured  (478)
2,23,Chamba,84,Chaurah,7080,Dhar Pakhara  (479)
2,23,Chamba,84,Chaurah,7081,Maihla  (486)
2,23,Chamba,84,Chaurah,7082,Sundari  (489)
2,23,Chamba,84,Chaurah,7083,R.F.Sundari  (490)
2,23,Chamba,84,Chaurah,7084,Dhar Manjaut    (491)
2,23,Chamba,84,Chaurah,7085,R.F.Jammu Kalawali  (482)
2,23,Chamba,84,Chaurah,7086,R.F.Dehra  (484)
2,23,Chamba,84,Chaurah,7087,Dehra  (485)
2,23,Chamba,84,Chaurah,7088,Kunda  (483)
2,23,Chamba,84,Chaurah,7089,Dhar Sheru  (480)
2,23,Chamba,84,Chaurah,7090,Dyothal Dhar  (481)
2,23,Chamba,85,Saluni,0,Saluni
2,23,Chamba,85,Saluni,7091,R.F. Bhangothali  (146)
2,23,Chamba,85,Saluni,7092,Dhar Syah Behi  (145)
2,23,Chamba,85,Saluni,7093,R.F. Bir  (144)
2,23,Chamba,85,Saluni,7094,Dhar Supacholu  (141)
2,23,Chamba,85,Saluni,7095,Theka Dhar Padhri  (138)
2,23,Chamba,85,Saluni,7096,Khundi Maral  (139)
2,23,Chamba,85,Saluni,7097,R.F.Supacholu  (140)
2,23,Chamba,85,Saluni,7098,R.F. Gagli  (142)
2,23,Chamba,85,Saluni,7099,Theka Dhar Baju Bag  (137)
2,23,Chamba,85,Saluni,7100,R.F. Langera  (136)
2,23,Chamba,85,Saluni,7101,Langera  (143)
2,23,Chamba,85,Saluni,7102,R.F. Guwari  (147)
2,23,Chamba,85,Saluni,7103,Dhar Gamgul  (148)
2,23,Chamba,85,Saluni,7104,R.F. Nalwar-I  (153)
2,23,Chamba,85,Saluni,7105,R.F. Ranjal  (149)
2,23,Chamba,85,Saluni,7106,R.F. Dandi  (150)
2,23,Chamba,85,Saluni,7107,R.F. Lader  (151)
2,23,Chamba,85,Saluni,7108,Pringul  (134)
2,23,Chamba,85,Saluni,7109,R.F. Chhota Jaura  (135)
2,23,Chamba,85,Saluni,7110,R.F. Charbhent  (133)
2,23,Chamba,85,Saluni,7111,R.F. Guinala  (152)
2,23,Chamba,85,Saluni,7112,Sanghni  (156)
2,23,Chamba,85,Saluni,7113,R.F. Nalwar-II  (155)
2,23,Chamba,85,Saluni,7114,Dhar Dughli  (154)
2,23,Chamba,85,Saluni,7115,R.F. Boda  (158)
